"RECCO","HNO_FR","REFER1","HA22_G","POWER","POOR_LOCAL","HR_DEL","X_HR","Z_MAD","P80","GATE_REASON","N_G_IN_ROUND","N_ROUND"
"2352","6",3,"1",-1.3,0,0,2,-1.1691173164261,11.3,"",5,29
"2425","3",15,"1",4.7,1,1,11.75,1.8687725629535,11,"P80",5,29
"3830","5",17,"1",9.8,0,0,4.65,-0.315719078903938,8.18,"",5,29
"2713","3",16,"1",-0.5,0,0,4.95,0.18563965857154,11,"",5,29
"5602","3",9,"1",-8.3,0,0,1.8,-0.594046907428928,11,"",5,29
"5005","5",9,"1",6.6,0,0,8.1,0.674490759476595,8.18,"",5,29
"6603","1",8,"1",0,0,0,1.2,-0.997073296617575,9.75,"",5,29
"5902","1",6,"1",-2.5,0,0,7.2,0.175954111167808,9.75,"",5,29
"698","7",19,"1",-1.8,0,0,5.95,-0.246448546731833,10.55,"",5,29
"2649","7",14,"1",-15,0,0,-5.7,-3.26868598823273,10.55,"",5,29
"2558","6",14,"1",3.5,0,0,8.2,0.423965620242431,11.3,"",5,29
"2349","1",8,"1",-12,0,0,1.2,-0.997073296617575,9.75,"",5,29
"1848","7",14,"1",-12.1,0,0,-5.7,-3.26868598823273,10.55,"",5,29
"1364","5",17,"1",2.2,0,0,4.65,-0.315719078903938,8.18,"",5,29
"6058","1",7,"1",0.1,0,0,-0.15,-1.26100446336929,9.75,"",5,29
"3952","3",2,"1",3.9,0,0,9.95,1.42323738238181,11,"",5,29
"5891","7",5,"1",-2.6,0,0,4.6,-0.596664902613911,10.55,"",5,29
"1317","1",13,"1",1.5,0,0,2.1,-0.821119185449768,9.75,"",5,29
"5863","5",10,"1",16.3,0,0,3.3,-0.703192493922408,8.18,"",5,29
"3391","7",14,"1",-9.9,0,0,-5.7,-3.26868598823273,10.55,"",5,29
"2426","1",12,"1",-0.3,0,0,1.55,-0.928646697830095,9.75,"",5,29
"3688","1",6,"1",-1.2,0,0,7.2,0.175954111167808,9.75,"",5,29
"5587","1",1,"1",-4.7,0,0,5,-0.2541559383535,9.75,"",5,29
"3487","3",14,"1",-3.9,0,0,1.6,-0.643550816381338,11,"",5,29
"1653","7",14,"1",-13.7,0,0,-5.7,-3.26868598823273,10.55,"",5,29
"2102","1",13,"1",-1,0,0,2.1,-0.821119185449768,9.75,"",5,29
"1795","1",12,"1",0.2,0,0,1.55,-0.928646697830095,9.75,"",5,29
"5802","1",8,"1",-1.3,0,0,1.2,-0.997073296617575,9.75,"",5,29
"1336","7",15,"1",11.6,1,1,14.3,1.91970446927954,10.55,"P80",5,29
"5857","3",9,"1",-5.3,0,0,1.8,-0.594046907428928,11,"",5,29
"3154","6",10,"1",14.1,0,0,4.55,-0.513897721505977,11.3,"",5,29
"3436","5",20,"1",-2.8,0,0,3.45,-0.660139892253689,8.18,"",5,29
"4107","6",10,"1",-1.5,0,0,4.55,-0.513897721505977,11.3,"",5,29
"2128","3",18,"1",4.6,0,0,5.6,0.346527362666875,11,"",5,29
"5479","7",1,"1",7.8,1,1,15.2,2.15318203986759,10.55,"P80",5,29
"4190","3",18,"1",6.8,0,0,5.6,0.346527362666875,11,"",5,29
"1582","5",26,"1",8.5,0,0,2.55,-0.918455502266002,8.18,"",5,29
"2957","1",9,"1",3.3,0,0,6.3,0,9.75,"",5,29
"2900","3",9,"1",-3.7,0,0,1.8,-0.594046907428928,11,"",5,29
"3439","3",16,"1",3.2,0,0,4.95,0.18563965857154,11,"",5,29
"5589","7",1,"1",5.5,1,1,15.2,2.15318203986759,10.55,"P80",5,29
"2670","5",10,"1",-2.6,0,0,3.3,-0.703192493922408,8.18,"",5,29
"2511","3",18,"1",7.3,0,0,5.6,0.346527362666875,11,"",5,29
"668","1",17,"1",1.5,0,0,3.3,-0.586513703892692,9.75,"",5,29
"458","1",20,"1",10.3,1,1,14.2,1.54448608691742,9.75,"P80",5,29
"1633","6",9,"1",-1.9,0,0,4.9,-0.423965620242431,11.3,"",5,29
"2836","5",9,"1",3.3,0,0,8.1,0.674490759476595,8.18,"",5,29
"5795","1",3,"1",6.7,0,0,9.35,0.596288932290903,9.75,"",5,29
"1332","3",19,"1",0.5,0,0,1.6,-0.643550816381338,11,"",5,29
"4553","2",2,"1",3.9,1,1,4.2,0.475602458605291,3.88,"P80",5,29
"2799","5",3,"1",2.1,0,0,3.7,-0.588385556139158,8.18,"",5,29
"1890","5",27,"1",5.5,0,0,5.75,0,8.18,"",5,29
"882","3",17,"1",0.3,0,0,4.5,0.0742558634286162,11,"",5,29
"320","1",20,"1",3.7,1,1,14.2,1.54448608691742,9.75,"P80",5,29
