refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco
12,"25082306","",6,50.00,1,"은빛돌풍",11.6,"24062309","24   06   23   09",9,20.00,"선더호스",19.2,16429,17779,"24 08 17  09","1800",6,"6","선더호스","오수철",1,58.7,0.6,8.7,54.55,"4","5",1.10,2,0,"24081709","빛나는질주",8.70,1.10,"자이언트엠",0,0,0,0,-1350,1609
3,"25082306","",6,54.55,1,"은빛돌풍",9.5,"25050406","25   05   04   06",10,18.18,"선더호스",16.1,25879,17779,"24 08 17  09","1800",6,"6","선더호스","오수철",1,58.7,0.6,8.7,54.55,"4","5",2.10,3,0,"24081709","빛나는질주",8.70,2.10,"자이언트엠",0,0,0,0,8100,1610
5,"25082306","",5,63.64,3,"정상해돋이",16.2,"25030908","25   03   09   08",6,54.55,"데블케이",18.2,24084,17782,"24 08 17  09","1800",9,"7","데블케이","김성현",1,59.6,0.6,15.6,27.27,"5","5",13.60,5,0,"24081709","빛나는질주",15.60,13.60,"자이언트엠",0,0,0,0,6302,1611
11,"25082306","",8,30.00,9,"럭키하눌",9.1,"24070606","24   07   06   06",4,70.00,"그랜드실버",6.1,16687,17783,"24 08 17  09","1800",10,"3","그랜드실버","김효정",1,59.7,0.6,16.8,18.18,"6","5",19.80,6,0,"24081709","빛나는질주",16.80,19.80,"자이언트엠",0,0,0,0,-1096,1612
7,"25082306","",1,100.0,2,"마이티아미",0.0,"24110306","24   11   03   06",3,77.78,"유수부쟁선",2.4,20132,17797,"24 08 18  01","1200",3,"5","유수부쟁선","임다빈",1,15.5,1.2,1.6,81.82,"6","4",-0.80,2,0,"24081801","마루장군",1.60,-2.80,"마루장군",0,0,0,0,2335,1613
10,"25082306","",7,45.45,4,"간다고",11.3,"24100503","24   10   05   03",8,36.36,"베아트리스",15.0,19075,17799,"24 08 18  01","1200",5,"1","베아트리스","김성현",1,16.2,1.2,6.6,63.64,"4","4",2.90,3,0,"24081801","마루장군",6.60,0.90,"마루장군",0,0,0,0,1276,1614
9,"25082306","",6,54.55,4,"간다고",15.6,"24110302","24   11   03   02",7,45.45,"엠지퍼스트",16.2,20097,17802,"24 08 18  01","1200",8,"11","엠지퍼스트","장추열",1,17.9,4.8,16.0,36.36,"4","4",15.40,4,0,"24081801","마루장군",16.00,13.40,"마루장군",0,0,0,0,2295,1615
9,"25082306","",6,54.55,4,"간다고",15.6,"24110302","24   11   03   02",8,36.36,"용암스타",22.2,20097,17804,"24 08 18  01","1200",10,"10","용암스타","김효정",1,18.5,3.6,20.1,18.18,"4","4",13.50,5,0,"24081801","마루장군",20.10,11.50,"마루장군",0,0,0,0,2293,1616
4,"25082306","",8,30.00,11,"브리도시리스",24.1,"25032310","25   03   23   10",6,50.00,"스피닝칸트",17.0,24563,17812,"24 08 18  02","1200",7,"10","스피닝칸트","이동하",1,15.8,0.6,18.1,45.45,"5","4",25.20,1,0,"24081802","스피닝칸트",18.10,23.20,"관악산스톰",0,0,0,0,6751,1617
4,"25082306","",2,90.91,7,"굿최강",4.0,"25011107","25   01   11   07",6,54.55,"스피닝칸트",8.3,22299,17812,"24 08 18  02","1200",7,"10","스피닝칸트","이동하",1,15.8,0.6,18.1,45.45,"3","4",13.80,2,0,"24081802","스피닝칸트",18.10,11.80,"관악산스톰",0,0,0,0,4487,1618
3,"25082306","",2,90.00,6,"창창삭스",7.8,"25032310","25   03   23   10",6,50.00,"스피닝칸트",17.0,24557,17812,"24 08 18  02","1200",7,"10","스피닝칸트","이동하",1,15.8,0.6,18.1,45.45,"5","4",8.90,3,0,"24081802","스피닝칸트",18.10,6.90,"관악산스톰",0,0,0,0,6745,1619
1,"25082306","",3,81.82,3,"정상해돋이",2.4,"25071207","25   07   12   07",6,54.55,"글로리시티",7.4,27815,17815,"24 08 18  02","1200",10,"5","글로리시티","최범현",1,16.7,1.8,23.2,18.18,"4","4",18.20,6,0,"24081802","스피닝칸트",23.20,16.20,"관악산스톰",0,0,0,0,10000,1620
1,"25082306","",11,9.09,9,"럭키하눌",13.1,"25071207","25   07   12   07",6,54.55,"글로리시티",7.4,27823,17815,"24 08 18  02","1200",10,"5","글로리시티","최범현",1,16.7,1.8,23.2,18.18,"4","4",28.90,7,0,"24081802","스피닝칸트",23.20,26.90,"관악산스톰",0,0,0,0,10008,1621
7,"25082306","",8,22.22,11,"브리도시리스",15.8,"24122210","24   12   22   10",7,33.33,"글로리시티",17.4,21739,17815,"24 08 18  02","1200",10,"5","글로리시티","최범현",1,16.7,1.8,23.2,18.18,"5","4",21.60,9,0,"24081802","스피닝칸트",23.20,19.60,"관악산스톰",0,0,0,0,3924,1622
7,"25082306","",4,72.73,1,"은빛돌풍",7.9,"24122906","24   12   29   06",5,63.64,"흥행불패",9.0,21940,17829,"24 08 18  04","1300",1,"7","흥행불패","문정균",1,21.1,0.0,0.6,100.0,"5","6",-0.50,1,0,"24081804","흥행불패",0.60,-0.50,"흥행불패",0,0,0,0,4111,1623
4,"25082306","",5,63.64,1,"은빛돌풍",2.0,"25032906","25   03   29   06",10,18.18,"흥행불패",12.3,24636,17829,"24 08 18  04","1300",1,"7","흥행불패","문정균",1,21.1,0.0,0.6,100.0,"5","6",-9.70,2,0,"24081804","흥행불패",0.60,-9.70,"흥행불패",0,0,0,0,6807,1624
7,"25082306","",4,72.73,1,"은빛돌풍",7.9,"24122906","24   12   29   06",6,54.55,"천구챗",9.6,21940,17832,"24 08 18  04","1300",4,"5","천구챗","김철호",1,21.9,0.6,5.6,72.73,"5","6",3.90,3,0,"24081804","흥행불패",5.60,3.90,"흥행불패",0,0,0,0,4108,1625
2,"25082306","",6,50.00,8,"소울비트",10.8,"25032907","25   03   29   07",8,30.00,"천구챗",12.2,24648,17832,"24 08 18  04","1300",4,"5","천구챗","김철호",1,21.9,0.6,5.6,72.73,"5","6",4.20,4,0,"24081804","흥행불패",5.60,4.20,"흥행불패",0,0,0,0,6816,1626
4,"25082306","",8,36.36,2,"마이티아미",12.8,"25030106","25   03   01   06",6,54.55,"천구챗",11.1,23730,17832,"24 08 18  04","1300",4,"5","천구챗","김철호",1,21.9,0.6,5.6,72.73,"4","6",7.30,5,0,"24081804","흥행불패",5.60,7.30,"흥행불패",0,0,0,0,5898,1627
2,"25082306","",1,100.0,11,"브리도시리스",0.0,"25062207","25   06   22   07",7,45.45,"천구챗",10.4,27299,17832,"24 08 18  04","1300",4,"5","천구챗","김철호",1,21.9,0.6,5.6,72.73,"4","6",-4.80,6,0,"24081804","흥행불패",5.60,-4.80,"흥행불패",0,0,0,0,9467,1628
