refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco
28,"25060705","",4,75.00,5,"아치메모리",4.2,"23022609","23   02   26   09",8,41.67,"런던퀸",9.4,1735,6685,"23 08 19  05","1200",5,"7","런던퀸","김효정",1,16.3,3.0,3.6,63.64,"5","6",-1.60,4,0,"23081905","돌배",3.60,-1.60,"돌배",0,0,0,0,-4950,974
22,"25060705","",4,66.67,5,"아치메모리",3.5,"23092405","23   09   24   05",7,33.33,"지르콘",10.3,7871,6687,"23 08 19  05","1200",7,"9","지르콘","하정훈",1,16.9,1.2,6.4,45.45,"4","6",-0.40,5,0,"23081905","돌배",6.40,-0.40,"돌배",0,0,0,0,1184,975
17,"25060705","",3,75.00,7,"시크릿왕자",6.9,"23070807","23   07   08   07",8,12.50,"티즈헌터",17.7,5580,6701,"23 08 19  06","1400",10,"3","티즈헌터","다비드",1,31.3,0.6,13.4,18.18,"4","5",2.60,8,0,"23081906","금성세계",13.40,2.60,"금성세계",0,0,0,0,-1121,976
15,"25060705","",4,70.00,5,"아치메모리",7.4,"24040608","24   04   06   08",6,50.00,"원평퀸",11.5,13922,6722,"23 08 19  08","1300",10,"6","원평퀸","김정준",1,23.6,1.8,15.6,18.18,"6","5",11.50,3,0,"23081908","태양타고",15.60,11.50,"대완구",0,0,0,0,7200,977
19,"25060705","",7,45.45,3,"파워에치드",6.3,"23121608","23   12   16   08",9,27.27,"퍼지킹",8.7,10381,6748,"23 08 20  01","1200",4,"6","퍼지킹","김철호",1,17.2,4.2,7.2,72.73,"4","4",4.80,1,0,"23082001","퍼지킹",7.20,2.80,"더플레이어",0,0,0,0,3633,978
19,"25060705","",2,90.91,7,"시크릿왕자",10.0,"23052002","23   05   20   02",4,72.73,"행복여왕",12.5,4061,6758,"23 08 20  02","1200",3,"9","행복여왕","이혁",1,17.3,1.8,6.1,81.82,"2","3",3.60,1,0,"23082002","행복여왕",6.10,0.10,"피닉스클래스",0,0,0,0,-2697,979
15,"25060705","",5,63.64,1,"백룡",8.2,"24012803","24   01   28   03",10,18.18,"샤우트쿠로",11.8,11821,6760,"23 08 20  02","1200",5,"3","샤우트쿠로","조재로",1,18.5,6.0,13.6,63.64,"4","3",10.00,2,0,"23082002","행복여왕",13.60,6.50,"피닉스클래스",0,0,0,0,5061,980
18,"25060705","",10,18.18,1,"백룡",17.1,"23102902","23   10   29   02",8,36.36,"아메노",10.5,8844,6761,"23 08 20  02","1200",6,"11","아메노","송재철",1,18.7,1.2,15.6,54.55,"6","3",22.20,3,0,"23082002","행복여왕",15.60,18.70,"피닉스클래스",0,0,0,0,2083,981
13,"25060705","",3,77.78,1,"백룡",4.9,"24032304","24   03   23   04",8,22.22,"질풍재즈",18.3,13417,6766,"23 08 20  02","1200",11,"10","질풍재즈","김옥성",1,21.1,5.4,29.2,9.09,"3","3",15.80,5,0,"23082002","행복여왕",29.20,12.30,"피닉스클래스",0,0,0,0,6651,982
20,"25060705","",6,44.44,7,"시크릿왕자",5.5,"23050703","23   05   07   03",4,66.67,"새로운빛깔",4.2,3742,6768,"23 08 20  03","1400",2,"1","새로운빛깔","김옥성",1,30.1,5.4,5.4,90.91,"5","3",6.70,4,99,"23082003","제타마스터",5.40,3.20,"제타마스터",0,0,0,0,-3026,983
27,"25060705","",9,11.11,3,"파워에치드",22.4,"23021103","23   02   11   03",4,66.67,"사바나찰리",11.6,1064,6770,"23 08 20  03","1400",4,"5","사바나찰리","김용근",1,30.5,0.2,7.5,72.73,"4","3",18.30,8,99,"23082003","제타마스터",7.50,14.80,"제타마스터",0,0,0,0,-5706,984
23,"25060705","",5,55.56,7,"시크릿왕자",14.4,"23021103","23   02   11   03",4,66.67,"사바나찰리",11.6,1060,6770,"23 08 20  03","1400",4,"5","사바나찰리","김용근",1,30.5,0.2,7.5,72.73,"4","3",10.30,9,99,"23082003","제타마스터",7.50,6.80,"제타마스터",0,0,0,0,-5710,985
27,"25060705","",9,11.11,3,"파워에치드",22.4,"23021103","23   02   11   03",8,22.22,"투아레그나인",21.8,1064,6771,"23 08 20  03","1400",5,"4","투아레그나인","오수철",1,31.5,6.0,11.7,63.64,"4","3",12.30,10,99,"23082003","제타마스터",11.70,8.80,"제타마스터",0,0,0,0,-5707,986
22,"25060705","",4,72.73,3,"파워에치드",6.9,"23092404","23   09   24   04",5,63.64,"투아레그나인",9.0,7860,6771,"23 08 20  03","1400",5,"4","투아레그나인","오수철",1,31.5,6.0,11.7,63.64,"5","3",9.60,11,99,"23082003","제타마스터",11.70,6.10,"제타마스터",0,0,0,0,1089,987
23,"25060705","",5,55.56,7,"시크릿왕자",14.4,"23021103","23   02   11   03",8,22.22,"투아레그나인",21.8,1060,6771,"23 08 20  03","1400",5,"4","투아레그나인","오수철",1,31.5,6.0,11.7,63.64,"4","3",4.30,12,99,"23082003","제타마스터",11.70,0.80,"제타마스터",0,0,0,0,-5711,988
17,"25060705","",5,63.64,1,"백룡",8.1,"23112603","23   11   26   03",6,54.55,"투아레그나인",8.6,9771,6771,"23 08 20  03","1400",5,"4","투아레그나인","오수철",1,31.5,6.0,11.7,63.64,"4","3",11.20,13,99,"23082003","제타마스터",11.70,7.70,"제타마스터",0,0,0,0,3000,989
