refer1,rano_fr,racemm_a,ra_fr,uppro_fr,hno_fr,hname_fr,refer_fr,rano_1st,rano1,ra_1st,uppro_1st,hname_1st,refer_1st,recno_1st,recno_2nd,rano2,racemm_b,ra,hno,hname,jockey,mi,sec,masin,refer,uppro,clas_1st,class,refer_gap,nent,ref,rano_2nd,ha_2nd,refer_2nd,power,ha_22nd,rp,rpp,rp1,ck,rec_gap,recco,ho_befo_hi,horank_hi,ho_due_hi,ma_due_hi,jo_due_hi,enho_hi,jo_befo_hi,jorank_hi,jo_tren_hi,manager_hi,ma_befo_hi,marank_hi,owner_hi,ow_befo_hi,owrank_hi,fanpro_hi,jockey_hi,ho_befo_fr,horank_fr,ho_due_fr,ma_due_fr,jo_due_fr,enho_fr,jockey_fr,jo_befo_fr,jorank_fr,jo_tren_fr,manager_fr,ma_befo_fr,marank_fr,owner_fr,ow_befo_fr,owrank_fr,fanpro_fr,jo_gap_rk,ma_gap_rk,ow_gap_rk,jo_gap_rt,ma_gap_rt,ow_gap_rt,ho_gap_rk,ho_gap_rt,ho_gap_du,jo_gap_du,ma_gap_du
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,7,45.45,칸누트,5,21931,24384,25 03 22  04,1400,5,3,칸누트,코지,1,31.5,3,10,63.64,5,4,9.5,3,0,25032204,칸누트,10,9.5,파사킹,1,0,0,0,-2453,2311,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,8,36.36,해제여걸,7,21931,23233,25 02 15  05,1200,5,11,해제여걸,김효정,1,17.3,3.5,8.5,63.64,5,4,6,5,0,25021505,블루레이서,8.5,6,블루레이서,1,0,0,0,-1302,2037,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,7,45.45,칸누트,5,21931,25291,25 04 19  04,1300,8,8,칸누트,코지,1,24.6,0.5,7,36.36,5,5,6.5,9,99,25041904,동키플레이,7,6.5,동키플레이,1,0,0,0,-3360,2562,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,8,36.36,해제여걸,7,21931,20897,24 11 30  06,1300,5,10,해제여걸,이철경,1,21.1,0,8.5,63.64,5,3,6,1,0,24113006,해제여걸,8.5,6,천구챗,1,0,0,0,1034,1461,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,9,27.27,원더풀새치,15.5,21931,28099,25 07 20  06,1700,4,6,원더풀새치,조상범,1,51.6,1.5,11.5,62.5,5,5,0.5,2,0,25072006,원더풀새치,11.5,0.5,살바도르,1,0,0,0,-6168,3297,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,11,9.09,천지마켓,17.5,21931,22854,25 01 26  03,1400,8,1,천지마켓,이혁,1,31,2,7.5,36.36,5,2,-5.5,13,0,25012603,파이널질주,7.5,-5.5,파이널질주,1,0,0,0,-923,1935,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,10,18.18,청해제일,15.5,21931,20441,24 11 16  05,1300,10,4,청해제일,조한별,1,23.7,0.5,14,18.18,5,3,3,7,0,24111605,영웅자룡,14,3,태평레전드,1,0,0,0,1490,1360,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,11,9.09,천지마켓,17.5,21931,29745,25 09 20  04,1300,10,5,천지마켓,문정균,1,21.5,1.5,9.5,18.18,5,5,-3.5,9,99,25092004,로열삭스,9.5,-3.5,로열삭스,1,0,0,0,-7814,3616,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,10,18.18,청해제일,15.5,21931,17739,24 08 17  05,1400,10,4,청해제일,정우주,1,30.5,1,17,18.18,5,6,6,4,0,24081705,꿈의향기,17,6,프린스데이,1,0,0,0,4192,791,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
5,25100306,,6,54.55,9,동키플레이,4.5,24122905,24   12   29   05,11,9.09,천지마켓,17.5,21931,15418,24 05 25  02,1300,8,3,천지마켓,송재철,1,24.1,0,10,30,5,6,-3,4,0,24052502,제라퀸,10,-3,나이트참,1,0,0,0,6513,434,40,3,3,18,1,6,42.05,1,13.4,최영주,18.81,8,조현영,18.9,7,18.18,조재로,27.27,11,4,8,8,12,정우주,25,8,0.9,최영주,17.79,7,조현영,16.2,6,9.09,-4.18,-0.53,-1.74,-8.7,-0.79,-6.27,-7.83,-15.17,1.43,5.9,1.9
